date,yearmonth,ma_id,fishbase_id,length_cm,count,lmax
2022-03-02,2022-03-01,72.0,4463.0,14.641572917640962,300,15.39999962
2022-03-09,2022-03-01,72.0,513.0,39.919252311894056,1,64.5
2022-05-27,2022-05-01,71.0,121.0,72.36649403431905,2,104.0
2022-04-06,2022-04-01,19.0,136.0,47.86972462814948,100,104.0
2022-04-03,2022-04-01,67.0,999999001.0,16.024048463266027,1,
2022-05-16,2022-05-01,81.0,7319.0,43.98216706738554,4,36.0
2022-03-22,2022-03-01,74.0,162.0,46.42218770290892,2,69.69999695
2022-03-25,2022-03-01,74.0,1406.0,36.67748809365534,8,44.2703702
2022-03-01,2022-03-01,71.0,1845.0,25.056104194048565,12,59.0
2022-03-28,2022-03-01,74.0,4464.0,36.46954792292591,10,46.0
2022-05-09,2022-05-01,74.0,4464.0,34.965239466117744,15,46.0
2022-05-30,2022-05-01,74.0,1406.0,35.054309390540055,9,44.2703702
2022-03-01,2022-03-01,72.0,513.0,39.919252311894056,1,64.5
2022-04-12,2022-04-01,71.0,4922.0,47.26659265664073,23,37.79999924
2022-04-10,2022-04-01,67.0,4886.0,38.27587247784274,11,49.34999943
2022-03-17,2022-03-01,64.0,143.0,94.3193469871191,12,131.0
2022-03-07,2022-03-01,67.0,121.0,80.41448779142985,1,104.0
2022-05-12,2022-05-01,63.0,6454.0,31.09681229337568,1,40.59999847
2022-03-03,2022-03-01,66.0,999999001.0,6.76118099855508,10,
2022-03-09,2022-03-01,61.0,7625.0,42.331539988399086,1,19.89999962
2022-03-16,2022-03-01,61.0,184.0,27.38720881794759,5,27.39999962
2022-03-26,2022-03-01,61.0,184.0,25.809657524280524,3,27.39999962
2022-03-27,2022-03-01,61.0,7625.0,44.50516422707097,1,19.89999962
2022-04-15,2022-04-01,61.0,184.0,30.424674905406434,19,27.39999962
2022-03-23,2022-03-01,61.0,5847.0,24.42128372635335,42,23.52499994
2022-05-15,2022-05-01,61.0,1863.0,30.14061592215316,2,21.60000038
2022-05-30,2022-05-01,61.0,5847.0,24.42128372635335,63,23.52499994
2022-03-26,2022-03-01,177.0,999999001.0,11.531546512715742,1,
2022-03-26,2022-03-01,177.0,999999001.0,10.82252811714775,3,
2022-03-04,2022-03-01,81.0,1924.0,23.04192629501804,9,27.8
2022-04-13,2022-04-01,118.0,4698.0,24.30282353029405,9,19.0
2022-04-16,2022-04-01,118.0,4698.0,26.959838380069648,5,19.0
2022-05-27,2022-05-01,71.0,5349.0,36.9665237630012,2,46.5
2022-04-13,2022-04-01,74.0,4922.0,45.47298117694463,1,37.79999924
2022-04-06,2022-04-01,19.0,1043.0,4.2731050124514365,122600,17.0
2022-03-16,2022-03-01,67.0,107.0,13.688978673340433,14,25.0
2022-05-27,2022-05-01,63.0,121.0,71.17996462493005,1,104.0
2022-03-14,2022-03-01,69.0,1077.0,32.40813168670374,10,
2022-03-05,2022-03-01,66.0,999999001.0,6.616470705505154,7,
2022-03-23,2022-03-01,61.0,1863.0,27.906494691708073,15,21.60000038
2022-03-26,2022-03-01,61.0,1863.0,30.14061592215316,2,21.60000038
2022-03-20,2022-03-01,61.0,5348.0,27.750952971247088,18,28.0
2022-05-18,2022-05-01,61.0,7625.0,40.78029807197619,1,19.89999962
2022-03-29,2022-03-01,62.0,6457.0,33.87799710770502,2,12.60000038
2022-03-06,2022-03-01,177.0,4826.0,22.493157007920612,2,51.0
2022-04-22,2022-04-01,81.0,5556.0,38.96001211793817,4,29.39999962
2022-05-13,2022-05-01,118.0,1845.0,32.2021888302938,19,59.0
2022-05-27,2022-05-01,118.0,1845.0,32.79440829091937,9,59.0
2022-04-09,2022-04-01,92.0,143.0,57.89913563731351,1,131.0
2022-03-19,2022-03-01,37.0,188.0,33.12678047113856,28,52.0
2022-03-31,2022-03-01,85.0,345.0,51.50987116800568,20,
2022-03-04,2022-03-01,81.0,6441.0,23.739028404081903,3,36.5
2022-03-08,2022-03-01,81.0,7319.0,48.67170967311543,3,36.0
2022-05-21,2022-05-01,61.0,1863.0,24.84687042775566,7,21.60000038
2022-03-18,2022-03-01,66.0,999999001.0,13.100573344311409,3,
2022-04-21,2022-04-01,61.0,4588.0,22.26581590407921,11,27.0
2022-05-30,2022-05-01,61.0,111.0,26.94601253627966,8,25.0
2022-03-03,2022-03-01,61.0,1954.0,16.2444929581941,81,20.0
2022-03-23,2022-03-01,61.0,4826.0,59.44849324119189,1,51.0
2022-04-12,2022-04-01,62.0,6457.0,94.89570871706424,1,12.60000038
2022-04-22,2022-04-01,142.0,10.0,48.43978743222685,3,28.20000076
2022-05-26,2022-05-01,142.0,396.0,29.615065999621518,12,19.0
2022-04-28,2022-04-01,142.0,109.0,22.579510701103313,9,21.75
2022-05-17,2022-05-01,142.0,1002.0,19.055784996609738,24,
2022-05-28,2022-05-01,142.0,109.0,22.392996186879397,110,21.75
2022-04-14,2022-04-01,142.0,4493.0,34.35134056188476,26,24.10000038
2022-03-02,2022-03-01,142.0,109.0,21.508707276879885,25,21.75
2022-03-13,2022-03-01,118.0,1845.0,43.10269959640446,4,59.0
2022-03-16,2022-03-01,61.0,111.0,26.94601253627966,20,25.0
2022-03-20,2022-03-01,61.0,1847.0,20.605941568226616,12,39.00000017
2022-04-12,2022-04-01,62.0,1895.0,85.08275905612639,2,62.71428571
2022-05-24,2022-05-01,142.0,104.0,53.87795354174454,18,49.5
2022-05-30,2022-05-01,142.0,10.0,37.92775060921184,7,28.20000076
2022-03-10,2022-03-01,142.0,84.0,21.415423354810528,30,56.79999924
2022-03-25,2022-03-01,142.0,1845.0,33.6562266489924,5,59.0
2022-03-02,2022-03-01,142.0,4465.0,51.4064847737777,3,59.40000153
2022-05-20,2022-05-01,142.0,6.0,78.96076013357145,1,108.5
2022-03-28,2022-03-01,142.0,1055.0,30.428943411710048,50,19.5
2022-05-16,2022-05-01,118.0,4698.0,22.00196236191159,9,19.0
2022-04-06,2022-04-01,118.0,96.0,118.48191062106659,1,59.5
2022-03-23,2022-03-01,92.0,143.0,54.39977244357299,6,131.0
2022-03-23,2022-03-01,66.0,999999001.0,8.64516957087055,9,
2022-04-22,2022-04-01,71.0,261.0,17.78107222909891,14,25.39999962
2022-03-16,2022-03-01,72.0,5984.0,15.084837311394752,15,29.53333346
2022-03-01,2022-03-01,74.0,162.0,35.46914709949113,2,69.69999695
2022-04-08,2022-04-01,74.0,1406.0,36.67748809365534,8,44.2703702
2022-05-09,2022-05-01,71.0,6465.0,33.80002916847693,2,82.5
2022-04-29,2022-04-01,28.0,96.0,61.74341931478403,1,59.5
2022-03-19,2022-03-01,37.0,188.0,30.698585847465267,20,52.0
2022-04-22,2022-04-01,37.0,188.0,29.975778910727314,100,52.0
2022-05-02,2022-05-01,19.0,345.0,70.11656479529985,4,
2022-05-13,2022-05-01,67.0,5399.0,42.17284394495875,1,
2022-04-09,2022-04-01,69.0,265.0,39.97621646217998,4,41.20000076
2022-05-16,2022-05-01,81.0,4460.0,54.78868382408007,1,65.0
2022-04-13,2022-04-01,63.0,1924.0,35.429740443657735,6,27.8
2022-04-18,2022-04-01,63.0,1863.0,25.268812071929833,4,21.60000038
2022-03-28,2022-03-01,64.0,143.0,100.3866086038239,4,131.0
2022-03-30,2022-03-01,61.0,1863.0,26.204581920642266,3,21.60000038
2022-04-19,2022-04-01,61.0,6661.0,46.62427063676873,2,36.29999924
2022-04-04,2022-04-01,62.0,1895.0,79.5208055735294,3,62.71428571
2022-03-13,2022-03-01,142.0,396.0,16.067366170004128,18,19.0
2022-03-19,2022-03-01,142.0,104.0,31.278024635922055,6,49.5
2022-04-03,2022-04-01,142.0,109.0,22.723744085174044,21,21.75
2022-05-02,2022-05-01,142.0,159.0,19.551683799301657,98,21.39999962
2022-05-13,2022-05-01,,7938.0,60.4992957841916,4,50.79999924
2022-05-17,2022-05-01,142.0,9.0,38.05239887105104,1,36.79999924
2022-05-28,2022-05-01,142.0,1002.0,24.9807174048933,2,
2022-03-30,2022-03-01,91.0,387.0,59.205509479964846,12,29.0
2022-05-06,2022-05-01,118.0,4698.0,22.00196236191159,9,19.0
2022-03-23,2022-03-01,92.0,143.0,125.58367063331458,2,131.0
2022-04-28,2022-04-01,61.0,1954.0,15.723791496854307,210,20.0
2022-03-24,2022-03-01,62.0,1845.0,25.57977889661098,79,59.0
